Timestamp, pos_x, pos_y, pos_z, cam_qx, cam_qy, cam_qz, cam_qw, ss_qx, ss_qy, ss_qz, ss_qw, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_qw, mag_qx, mag_qy, stillness
342, -0.2150142, -0.3276232, 1.028511, 0.0243113, -0.004592543, -0.02969564, 0.9992528, -0.0003388026, 0.0001062197, -0.0001010332, 0.9999999, -0.04267867, -0.01310634, -0.01275449, -0.1051605, 1.006265, 0.01060948, -0.004415082, -0.299977, 0.3145888, 0.9927965
349, -0.2150131, -0.3276288, 1.028518, 0.02425089, -0.004597416, -0.02967641, 0.9992548, -0.0003388026, 0.0001062197, -0.0001010332, 0.9999999, -0.04267867, -0.01310634, -0.01275449, -0.1051605, 1.006265, 0.01060948, -0.004415082, -0.299977, 0.3145888, 0.9927965
358, -0.2150019, -0.3276156, 1.028519, 0.02427167, -0.004592033, -0.02969807, 0.9992537, -0.0003288421, 9.294704E-05, -7.749279E-05, 1, -0.0365702, -0.01799312, -0.009089405, -0.1083615, 1.011017, 0.01397375, -0.0007520188, -0.2991674, 0.3163979, 0.9723845
366, -0.2149895, -0.3276078, 1.028512, 0.02427612, -0.004575817, -0.02968723, 0.999254, -0.0003345197, 5.796319E-06, -6.518373E-05, 1, -0.02435326, -0.009441256, -0.0005375408, -0.1036857, 1.005798, 0.01406053, 0.0001983931, -0.2982523, 0.3145765, 0.9950982
374, -0.2149859, -0.3276163, 1.028516, 0.02425695, -0.004598765, -0.029688, 0.9992543, -0.0002961583, 1.60184E-05, -4.745269E-05, 0.9999999, -0.01946648, -0.01554973, -0.007867711, -0.10639, 1.009, 0.01228734, 0.0002257866, -0.3011148, 0.3136677, 0.9813276
382, -0.2149929, -0.3276135, 1.028525, 0.02429017, -0.004621323, -0.0296935, 0.9992532, -0.0003364973, -5.182729E-05, -5.772657E-05, 0.9999999, -0.03168342, -0.006997867, -0.01153279, -0.1068994, 1.003674, 0.01482056, 0.001202269, -0.2992479, 0.3100272, 1
391, -0.2150048, -0.3276117, 1.028517, 0.02425684, -0.004607061, -0.02966754, 0.9992549, -0.0003364973, -5.182729E-05, -5.772657E-05, 0.9999999, -0.02557495, 0.005219078, -0.007867711, -0.10491, 1.008974, 0.01253712, -0.005407971, -0.2980286, 0.3182284, 0.9820343
399, -0.2150163, -0.3276168, 1.028523, 0.02425724, -0.004596114, -0.02967871, 0.9992546, -0.0002977264, -3.512867E-05, -6.105914E-05, 1, -0.02557495, 0.005219078, -0.007867711, -0.10491, 1.008974, 0.01253712, -0.005407971, -0.2980286, 0.3182284, 0.9820343
408, -0.2150141, -0.327628, 1.028499, 0.02425705, -0.004573752, -0.02968177, 0.9992546, -0.0003700575, -5.280378E-05, -7.898884E-05, 0.9999999, -0.01702309, -0.009441256, -0.009089405, -0.1076272, 1.009064, 0.01498679, -0.005358607, -0.2989856, 0.3155003, 0.9804083
416, -0.2150158, -0.3276259, 1.028519, 0.02429175, -0.004573279, -0.02965287, 0.9992546, -0.0003579808, -1.977221E-05, -5.935755E-05, 0.9999999, -0.02068817, -0.003332783, -0.01764126, -0.1056542, 1.00728, 0.01255973, -0.001603696, -0.3019965, 0.3127633, 0.9884644
424, -0.215005, -0.3276136, 1.028522, 0.02425862, -0.004597263, -0.0296864, 0.9992543, -0.000318411, -2.113695E-05, -7.463642E-05, 1, -0.02557495, -0.006997867, -0.02374974, -0.1088557, 1.011788, 0.01592752, -0.00262266, -0.3009998, 0.3182219, 0.9689942
432, -0.2150054, -0.3276031, 1.028517, 0.02428381, -0.00457661, -0.02971232, 0.999253, -0.0003376238, -3.942347E-05, -0.000123571, 1, -0.01824478, -0.002111089, -0.002980933, -0.1081022, 1.014381, 0.01048518, -0.005331213, -0.3018481, 0.3145916, 0.9592863
441, -0.2150085, -0.3276142, 1.028504, 0.02427855, -0.004590117, -0.02970591, 0.9992533, -0.0003376238, -3.942347E-05, -0.000123571, 1, -0.0365702, -0.01677142, -0.01397618, -0.1053912, 1.015364, 0.01465563, -0.00347844, -0.3028751, 0.3145871, 0.9563041
449, -0.2150183, -0.327625, 1.028518, 0.02428553, -0.004601977, -0.02966623, 0.9992543, -0.0003095558, -4.510512E-05, -0.0001073265, 0.9999999, -0.0365702, -0.01677142, -0.01397618, -0.1053912, 1.015364, 0.01465563, -0.00347844, -0.3028751, 0.3145871, 0.9563041
458, -0.215011, -0.3276147, 1.02851, 0.02428481, -0.004591917, -0.02972954, 0.9992525, -0.0003738517, -8.180225E-05, -0.0001218646, 0.9999999, -0.0353485, -0.006997867, -0.007867711, -0.1054101, 1.00931, 0.0181836, -0.004382124, -0.2971187, 0.3118598, 0.9801503
465, -0.2150027, -0.3276097, 1.028507, 0.0243027, -0.004582945, -0.02968056, 0.9992535, -0.0004326438, -6.6721E-05, -0.0001067254, 0.9999998, -0.02190987, -0.004554478, -0.005424321, -0.1078695, 1.009019, 0.01154615, -0.003479761, -0.2990608, 0.3136767, 0.9806638
474, -0.2149927, -0.3276134, 1.028497, 0.0242712, -0.004576567, -0.02967029, 0.9992546, -0.000423393, -2.271088E-05, -0.0001182753, 0.9999999, -0.02068817, -0.01066295, -0.004202627, -0.1073869, 1.005372, 0.01332029, -0.002554105, -0.3029116, 0.3145847, 0.9952865
482, -0.2149921, -0.3276198, 1.028514, 0.02428127, -0.00458414, -0.02971401, 0.999253, -0.0003496346, -4.32845E-05, -7.914304E-05, 0.9999999, -0.03779189, -0.006997867, -0.007867711, -0.1041853, 1.001866, 0.0116584, -0.004460345, -0.2999739, 0.3173171, 1
491, -0.2149966, -0.3276182, 1.028509, 0.02427251, -0.004591271, -0.02968669, 0.999254, -0.0002989825, -1.610618E-05, -1.71985E-05, 0.9999999, -0.01824478, -0.003332783, -0.007867711, -0.1049117, 1.009495, 0.01474148, -0.0006834632, -0.3010792, 0.3127607, 0.9798461
499, -0.2150021, -0.3276103, 1.02851, 0.02426464, -0.004594497, -0.02968788, 0.9992542, -0.0002989825, -1.610618E-05, -1.71985E-05, 0.9999999, -0.01824478, -0.003332783, -0.007867711, -0.1049117, 1.009495, 0.01474148, -0.0006834632, -0.3010792, 0.3127607, 0.9798461
508, -0.215006, -0.3276072, 1.028511, 0.02427171, -0.004598327, -0.02965412, 0.9992549, -0.0002098614, -6.946293E-05, -3.581925E-06, 0.9999999, -0.02313156, -0.01432803, -0.01519788, -0.1039378, 1.004108, 0.01506735, -0.0007739896, -0.301073, 0.3182172, 1
515, -0.2150028, -0.3276182, 1.028503, 0.02427724, -0.004581905, -0.02970739, 0.9992534, -0.0002239551, -9.268755E-05, -1.877605E-05, 0.9999999, -0.03779189, -0.003332783, -0.01519788, -0.1078829, 1.007165, 0.01845424, -0.006289826, -0.3008556, 0.3164126, 0.9876209
